img	comment	related text	question	answer		
		The composition of the painting, painted for the Jesuits in Rome, derives from a design by Bernini, known by the Baciccio from an engraving	Who does the composition of the painting derive from a design by?	by Bernini		
		The composition of the painting, painted for the Jesuits in Rome, derives from a design by Bernini, known by the Baciccio from an engraving	Who is Bernini known by from an engraving?	by the Baciccio		
		The composition of the painting, painted for the Jesuits in Rome, derives from a design by Bernini, known by the Baciccio from an engraving	Who is known by the Baciccio from an engraving?	Bernini		
		The composition of the painting, painted for the Jesuits in Rome, derives from a design by Bernini, known by the Baciccio from an engraving	What derives from a design by Bernini?	the composition of the painting		
		The composition of the painting, painted for the Jesuits in Rome, derives from a design by Bernini, known by the Baciccio from an engraving	What does the composition of the painting derive from by Bernini?	from a design		
		The composition of the painting, painted for the Jesuits in Rome, derives from a design by Bernini, known by the Baciccio from an engraving	What is painted for the Jesuits in Rome?	the composition		
06651-birdtrax.jpg	The composition of The Bird Trap is one of the most popular created by the Brueghel family. The prototype has generally been thought to be the painting by Pieter Brueghel the Elder. Pieter Brueghel the Younger and his busy studio produced numerous (over forty) copies and variations of the composition. The earliest known dated version by Brueghel the Younger is the painting dated 1601, the latest is dated 1626. In this version, several figures were added to the composition c. 1630-35, by an artist in the circle of Hendrick Avercamp					
		The composition of The Bird Trap is one of the most popular created by the Brueghel family.	What is one of the most popular created by the Brueghel family?	the composition of The Bird Trap		
		In this version, several figures were added to the composition c. 1630-35, by an artist in the circle of Hendrick Avercamp	What were several figures added to the composition c. 1630-35 in the circle of Hendrick Avercamp in?	in this version		
		The composition of The Bird Trap is one of the most popular created by the Brueghel family.	What is the composition of The Bird Trap one of created by the Brueghel family?	of the most popular		
		In this version, several figures were added to the composition c. 1630-35, by an artist in the circle of Hendrick Avercamp	Who was the composition c. 1630-35 by?	by an artist		
		The earliest known dated version by Brueghel the Younger is the painting dated 1601, the latest is dated 1626.	What is the earliest known dated version by Brueghel the Younger?	the painting dated 1601		
		The composition of The Bird Trap is one of the most popular created by the Brueghel family.	What is the composition of The Bird Trap created by the Brueghel family?	one of the most popular		
		Pieter Brueghel the Younger and his busy studio produced numerous (over forty) copies and variations of the composition.	What did Pieter Brueghel the Younger and his busy studio produce?	numerous copies and variations of the composition		
		The earliest known dated version by Brueghel the Younger is the painting dated 1601, the latest is dated 1626.	What is the painting dated 1601?	the earliest known dated version by Brueghel the Younger		
		Pieter Brueghel the Younger and his busy studio produced numerous (over forty) copies and variations of the composition.	Who produced numerous copies and variations of the composition?	Pieter Brueghel the Younger and his busy studio		
		The prototype has generally been thought to be the painting by Pieter Brueghel the Elder.	What has generally been thought to be the painting by Pieter Brueghel the Elder?	the prototype		
		In this version, several figures were added to the composition c. 1630-35, by an artist in the circle of Hendrick Avercamp	What was by an artist?	the composition c. 1630-35		
24537-08olona.jpg	This landscape is constructed similarly to the landscape background in the Baptism of Christ fresco of the Baptistery in Castiglione Olona					
		This landscape is constructed similarly to the landscape background in the Baptism of Christ fresco of the Baptistery in Castiglione Olona	What is constructed similarly to the landscape background in the Baptism of Christ fresco of the Baptistery in Castiglione Olona?	this landscape		
22585-4jpieta.jpg	Close in both style and dimensions, the Piet&#224; in the Museo Poldi Pezzoli and the Penitent St Jerome in Altenburg are essentially pendants, conceived and executed at about the same time. They were intended for private devotion.This painting, executed on an arched panel, is an extraordinarily refined Imago Pietatis: the dead Christ appears to rise from a sarcophagus attended by the Virgin and St John the Evangelist. Christ's body is wrapped in a shroud that leaves his torso exposed; his mother holds his head with her left arm, as the Evangelist supports Christ at the waist. The composition is not perfectly aligned with the central axis; instead the figures and the sarcophagus are shifted slightly to the right					
		They were intended for private devotion.	What were the Piet &#224; in the Museo Poldi Pezzoli and the Penitent St Jerome in Altenburg intended for?	for private devotion		
		Christ's body is wrapped in a shroud that leaves his torso exposed; his mother holds his head with her left arm, as the Evangelist supports Christ at the waist.	Whose body is wrapped in a shroud that leaves the dead Christ's torso exposed?	Christ's body		
		This painting, executed on an arched panel, is an extraordinarily refined Imago Pietatis: the dead Christ appears to rise from a sarcophagus attended by the Virgin and St John the Evangelist.	What is the painting executed on?	on an arched panel		
		The composition is not perfectly aligned with the central axis; instead the figures and the sarcophagus are shifted slightly to the right	What is the composition not perfectly aligned with?	with the central axis		
		Christ's body is wrapped in a shroud that leaves his torso exposed; his mother holds his head with her left arm, as the Evangelist supports Christ at the waist.	What does the Evangelist support Christ at?	at the waist		
		The composition is not perfectly aligned with the central axis; instead the figures and the sarcophagus are shifted slightly to the right	What are the figures and the sarcophagus shifted slightly to?	to the right		
		This painting, executed on an arched panel, is an extraordinarily refined Imago Pietatis: the dead Christ appears to rise from a sarcophagus attended by the Virgin and St John the Evangelist.	What is executed on an arched panel?	the painting		
		Close in both style and dimensions, the Piet &#224; in the Museo Poldi Pezzoli and the Penitent St Jerome in Altenburg are essentially pendants, conceived and executed at about the same time.	What were executed at about the same time?	pendants		
		The composition is not perfectly aligned with the central axis; instead the figures and the sarcophagus are shifted slightly to the right	What are shifted slightly to the right?	the figures and the sarcophagus		
		Close in both style and dimensions, the Piet &#224; in the Museo Poldi Pezzoli and the Penitent St Jerome in Altenburg are essentially pendants, conceived and executed at about the same time.	What are the Piet &#224; in the Museo Poldi Pezzoli and the Penitent St Jerome in Altenburg essentially?	pendants		
		Close in both style and dimensions, the Piet &#224; in the Museo Poldi Pezzoli and the Penitent St Jerome in Altenburg are essentially pendants, conceived and executed at about the same time.	What were pendants executed at?	at about the same time		
		Christ's body is wrapped in a shroud that leaves his torso exposed; his mother holds his head with her left arm, as the Evangelist supports Christ at the waist.	What is wrapped in a shroud that leaves the dead Christ's torso exposed?	Christ's body		
		They were intended for private devotion.	What were intended for private devotion?	the Piet &#224; in the Museo Poldi Pezzoli and the Penitent St Jerome in Altenburg		
		They were intended for private devotion.	Who were intended for private devotion?	they		
		Christ's body is wrapped in a shroud that leaves his torso exposed; his mother holds his head with her left arm, as the Evangelist supports Christ at the waist.	What is Christ's body wrapped in?	in a shroud that leaves the dead Christ's torso exposed		
		Close in both style and dimensions, the Piet &#224; in the Museo Poldi Pezzoli and the Penitent St Jerome in Altenburg are essentially pendants, conceived and executed at about the same time.	What are essentially pendants?	the Piet &#224; in the Museo Poldi Pezzoli and the Penitent St Jerome in Altenburg		
		Close in both style and dimensions, the Piet &#224; in the Museo Poldi Pezzoli and the Penitent St Jerome in Altenburg are essentially pendants, conceived and executed at about the same time.	What were conceived?	pendants		
		The composition is not perfectly aligned with the central axis; instead the figures and the sarcophagus are shifted slightly to the right	What is not perfectly aligned with the central axis?	the composition		
		Christ's body is wrapped in a shroud that leaves his torso exposed; his mother holds his head with her left arm, as the Evangelist supports Christ at the waist.	Who supports Christ at the waist?	the Evangelist		
		Christ's body is wrapped in a shroud that leaves his torso exposed; his mother holds his head with her left arm, as the Evangelist supports Christ at the waist.	Who does the Evangelist support at the waist?	Christ		
15510-6resurr.jpg	"The official prestige value of the upper picture on the main chapel wall (the Confirmation of the Rule) is clear. In contrast, the fresco beneath it, directly above the altarpiece, is devoted to the Sassetti family's private history. In 1478, the year of the Pazzi plot, their son Teodoro died; but a few months later Nera Corsi Sassetti gave birth to a second son. As they felt him to be a gift from God, they made yet another change in the plans for the altar wall in their mortuary chapel. Ghirlandaio had to abandon his design for a scene showing the appearance of Saint Francis in Arles, for which preliminary drawings still exist, and paint the Resurrection of the Boy. This was how the Sassetti intended to express their gratitude for their new-bon son Teodoro II.The events in the Resurrection of the Boy are taking place just outside the church of Santissima Trinita at the Ponte Santissima Trinita. ""... In it he represented the Ponte Santissima Trinita (the old one, by Taddeo Gaddi; the present one was built by Ammannati almost a hundred years later) with the palace of the Spini, the first scene showing the appearance of St Francis in the air to raise a child of that family... and other figures who are marvelling and rejoicing at the miracle, affording no little pleasure to the rest of us. Among them are portraits of Agnolo Acciaioli, Palla Strozzi..."" (Vasari).While playing, a boy falls out of the windows of the Palazzo Spini. A red ball falling to the street below him. Some passers-by see the falling child, rush up in help, but it is too late: the child is dead. The boy who met with the fatal accident is already lying on a bier surrounded by mourners. Then, however, two Franciscans succeed in interceding with Saint Francis on their behalf, and the child is brought back to life. The artist moved this miracle from Rome where it actually took place, to Florence - just outside the church in which the picture is painted  in order to be able to incorporate many of the portraits requested by the donor in the groups of onlookers"					
		Among them are portraits of Agnolo Acciaioli, Palla Strozzi. . .''''.	What are portraits of Agnolo Acciaioli, Palla Strozzi. . .?	the events in the Resurrection of the Boy		
		Among them are portraits of Agnolo Acciaioli, Palla Strozzi. . .''''.	Who are portraits of Agnolo Acciaioli, Palla Strozzi. . .?	them		
		Then, however, two Franciscans succeed in interceding with Saint Francis on their behalf, and the child is brought back to life.	Who is brought back to life?	the child		
		In 1478, the year of the Pazzi plot, their son Teodoro died; but a few months later Nera Corsi Sassetti gave birth to a second son.	Who did the year of the Pazzi plot die in 1478 gave birth to a second son?	Nera Corsi Sassetti		
		Some passers-by see the falling child, rush up in help, but it is too late: the child is dead.	Who do some passers-by see?	the falling child		
		``The official prestige value of the upper picture on the main chapel wall (the Confirmation of the Rule) is clear.	What is clear?	the official prestige value of the upper picture on the main chapel wall		
		The events in the Resurrection of the Boy are taking place just outside the church of Santissima Trinita at the Ponte Santissima Trinita.''''	What are taking place just outside the church of Santissima Trinita at the Ponte Santissima Trinita?	the events in the Resurrection of the Boy		
		Among them are portraits of Agnolo Acciaioli, Palla Strozzi. . .''''.	What are the events in the Resurrection of the Boy?	portraits of Agnolo Acciaioli, Palla Strozzi. . .		
		As they felt him to be a gift from God, they made yet another change in the plans for the altar wall in their mortuary chapel.	When made yet another change in the plans for the altar wall in their mortuary chapel?	a few months		
		In 1478, the year of the Pazzi plot, their son Teodoro died; but a few months later Nera Corsi Sassetti gave birth to a second son.	When did the year of the Pazzi plot die Nera Corsi Sassetti gave birth to a second son?	in 1478		
		As they felt him to be a gift from God, they made yet another change in the plans for the altar wall in their mortuary chapel.	What did a few months make yet another change in the plans for the altar wall in?	in their mortuary chapel		
		In 1478, the year of the Pazzi plot, their son Teodoro died; but a few months later Nera Corsi Sassetti gave birth to a second son.	When was the Pazzi plot?	1478		
		Ghirlandaio had to abandon his design for a scene showing the appearance of Saint Francis in Arles, for which preliminary drawings still exist, and paint the Resurrection of the Boy.	What did Ghirlandaio have to abandon for a scene showing the appearance of Saint Francis in Arles?	his design		
		As they felt him to be a gift from God, they made yet another change in the plans for the altar wall in their mortuary chapel.	What did a few months make in their mortuary chapel?	yet another change in the plans for the altar wall		
		Then, however, two Franciscans succeed in interceding with Saint Francis on their behalf, and the child is brought back to life.	What is the child brought back to?	to life		
		Then, however, two Franciscans succeed in interceding with Saint Francis on their behalf, and the child is brought back to life.	How many Franciscans succeed in interceding with Saint Francis on their behalf?	two Franciscans		
		Ghirlandaio had to abandon his design for a scene showing the appearance of Saint Francis in Arles, for which preliminary drawings still exist, and paint the Resurrection of the Boy.	What did Ghirlandaio have to abandon his design for?	for a scene showing the appearance of Saint Francis in Arles		
		In 1478, the year of the Pazzi plot, their son Teodoro died; but a few months later Nera Corsi Sassetti gave birth to a second son.	What was the Pazzi plot?	their son		
		In contrast, the fresco beneath it, directly above the altarpiece, is devoted to the Sassetti family's private history.	What is devoted to the Sassetti family's private history in contrast?	the fresco		
		Some passers-by see the falling child, rush up in help, but it is too late: the child is dead.	Who see the falling child?	some passers-by		
		Then, however, two Franciscans succeed in interceding with Saint Francis on their behalf, and the child is brought back to life.	Who succeed in interceding with Saint Francis on their behalf?	two Franciscans		
		This was how the Sassetti intended to express their gratitude for their new-bon son Teodoro II.	What was how the Sassetti intended to express their gratitude for their new-bon son Teodoro II?	this		
		In 1478, the year of the Pazzi plot, their son Teodoro died; but a few months later Nera Corsi Sassetti gave birth to a second son.	When died in 1478 Nera Corsi Sassetti gave birth to a second son?	the year of the Pazzi plot		
		In 1478, the year of the Pazzi plot, their son Teodoro died; but a few months later Nera Corsi Sassetti gave birth to a second son.	What did the year of the Pazzi plot die in 1478 Nera Corsi Sassetti gave to a second son?	birth		
		In contrast, the fresco beneath it, directly above the altarpiece, is devoted to the Sassetti family's private history.	When is the fresco devoted in contrast?	to the Sassetti family's private history		
		While playing, a boy falls out of the windows of the Palazzo Spini.	Who falls out of the windows of the Palazzo Spini?	a boy		
		In 1478, the year of the Pazzi plot, their son Teodoro died; but a few months later Nera Corsi Sassetti gave birth to a second son.	What was 1478?	the Pazzi plot		
		In 1478, the year of the Pazzi plot, their son Teodoro died; but a few months later Nera Corsi Sassetti gave birth to a second son.	Who did the year of the Pazzi plot die in 1478 Nera Corsi Sassetti gave birth to?	to a second son		
		The boy who met with the fatal accident is already lying on a bier surrounded by mourners.	Who is already lying on a bier surrounded by mourners?	the boy who met with the fatal accident		
		As they felt him to be a gift from God, they made yet another change in the plans for the altar wall in their mortuary chapel.	Who did a few months feel to be a gift from God?	Nera Corsi Sassetti		
		Among them are portraits of Agnolo Acciaioli, Palla Strozzi. . .''''.	Who are the events in the Resurrection of the Boy portraits of?	of Agnolo Acciaioli, Palla Strozzi. . .		
		In contrast, the fresco beneath it, directly above the altarpiece, is devoted to the Sassetti family's private history.	What is the fresco devoted to the Sassetti family's private history in?	in contrast		
		While playing, a boy falls out of the windows of the Palazzo Spini.	What does a boy fall out of?	of the windows of the Palazzo Spini		
		While playing, a boy falls out of the windows of the Palazzo Spini.	Who plays?	a boy		
		Ghirlandaio had to abandon his design for a scene showing the appearance of Saint Francis in Arles, for which preliminary drawings still exist, and paint the Resurrection of the Boy.	Who had to abandon his design for a scene showing the appearance of Saint Francis in Arles?	Ghirlandaio		
		As they felt him to be a gift from God, they made yet another change in the plans for the altar wall in their mortuary chapel.	When felt Nera Corsi Sassetti to be a gift from God?	a few months		
		As they felt him to be a gift from God, they made yet another change in the plans for the altar wall in their mortuary chapel.	What did a few months feel Nera Corsi Sassetti to be?	a gift from God		
		The events in the Resurrection of the Boy are taking place just outside the church of Santissima Trinita at the Ponte Santissima Trinita.''''	What are the events in the Resurrection of the Boy taking place just outside?	outside the church of Santissima Trinita at the Ponte Santissima Trinita		
		The events in the Resurrection of the Boy are taking place just outside the church of Santissima Trinita at the Ponte Santissima Trinita.''''	What are the events in the Resurrection of the Boy taking just outside the church of Santissima Trinita at the Ponte Santissima Trinita?	place		
		The boy who met with the fatal accident is already lying on a bier surrounded by mourners.	What is the boy who met with the fatal accident already lying on?	on a bier surrounded by mourners		
44173-ships.jpg	This landscape depicts ships moored off a rocky coastline with fishermen unloading their catch					
		This landscape depicts ships moored off a rocky coastline with fishermen unloading their catch	What depicts ships moored off a rocky coastline with fishermen unloading their catch?	this landscape		
41649-triptyc1.jpg	Most 16-century, northern Netherlandish altarpieces have narrative scenes from the New Testament in the central section, flanking donors depicted in the wings. One example is this small altarpiece from the Leiden School					
		One example is this small altarpiece from the Leiden School	What is one example?	this small altarpiece from the Leiden School		
		Most 16-century, northern Netherlandish altarpieces have narrative scenes from the New Testament in the central section, flanking donors depicted in the wings.	What have narrative scenes from the New Testament in the central section?	most 16-century, northern Netherlandish altarpieces		
		Most 16-century, northern Netherlandish altarpieces have narrative scenes from the New Testament in the central section, flanking donors depicted in the wings.	What do most 16-century, northern Netherlandish altarpieces have?	narrative scenes from the New Testament in the central section		
		Most 16-century, northern Netherlandish altarpieces have narrative scenes from the New Testament in the central section, flanking donors depicted in the wings.	What are flanking donors depicted in the wings?	narrative scenes from the New Testament in the central section		
		Most 16-century, northern Netherlandish altarpieces have narrative scenes from the New Testament in the central section, flanking donors depicted in the wings.	Who are narrative scenes from the New Testament in the central section?	flanking donors depicted in the wings		
17789-608goya.jpg	The painting sometimes is also called Panic.The giant is shown standing, his fists clenched for battle. The landscape is full of streams of people fleeing with their cattle.The painting makes it clear that mankind is dominated by fate, a force between heaven and earth. The demonic element, that has power over the earth, is depicted like a dream. Goya is basically using a Baroque device, allegory. He just makes the painting difficult to interpret, for we do not know whether the figure is intended to be a personification of revolution itself, of mankind exploding in rage, or its opposite, danger taking on visionary form					
		The giant is shown standing, his fists clenched for battle.	What is shown standing?	the giant		
		The giant is shown standing, his fists clenched for battle.	What is the giant shown?	standing		
		The landscape is full of streams of people fleeing with their cattle.	What is the landscape full of?	of streams of people fleeing with their cattle		
		Goya is basically using a Baroque device, allegory.	What is Goya basically using?	a Baroque device		
		The painting makes it clear that mankind is dominated by fate, a force between heaven and earth.	What is fate?	a force between heaven and earth		
		Goya is basically using a Baroque device, allegory.	What is allegory?	the Baroque device		
		The painting sometimes is also called Panic.	What is the painting sometimes also called?	Panic		
		The demonic element, that has power over the earth, is depicted like a dream.	What is the demonic element depicted like?	like a dream		
		The demonic element, that has power over the earth, is depicted like a dream.	What has power over the earth?	the demonic element		
		The giant is shown standing, his fists clenched for battle.	What is standing?	his fists clenched for battle		
		The demonic element, that has power over the earth, is depicted like a dream.	What does the demonic element have?	power over the earth		
		The painting makes it clear that mankind is dominated by fate, a force between heaven and earth.	What does the painting make clear that mankind is dominated by fate?	it		
		The painting makes it clear that mankind is dominated by fate, a force between heaven and earth.	What is a force between heaven and earth?	fate		
		Goya is basically using a Baroque device, allegory.	What is the Baroque device?	allegory		
		The painting makes it clear that mankind is dominated by fate, a force between heaven and earth.	What makes it clear that mankind is dominated by fate?	the painting		
		Goya is basically using a Baroque device, allegory.	Who is basically using a Baroque device?	Goya		
		The demonic element, that has power over the earth, is depicted like a dream.	What is depicted like a dream?	the demonic element		
		The painting sometimes is also called Panic.	What sometimes is also called Panic?	the painting		
23165-04monaco.jpg	"This narrow predella panel was among other widely scattered panels of the high altar of the Florentine monastic church of San Gaggio (also known as Santa Caterina al Monte). Christ and the apostles are fitted within a boxlike space. Judas is spaced ""below the salt,"" at the far side of the table from Christ and John, as witness to the latter's despair upon learning of the impending betrayal"					
		``This narrow predella panel was among other widely scattered panels of the high altar of the Florentine monastic church of San Gaggio (also known as Santa Caterina al Monte).	What was among other widely scattered panels of the high altar of the Florentine monastic church of San Gaggio?	this narrow predella panel		
		Judas is spaced'' ``below the salt,'''' at the far side of the table from Christ and John, as witness to the latter's despair upon learning of the impending betrayal''	What is judas spaced upon?	``below the salt,'''', as witness to the latter's despair upon learning of the impending betrayal''		
		Christ and the apostles are fitted within a boxlike space.	What are Christ and the apostles fitted within?	within a boxlike space		
		Judas is spaced'' ``below the salt,'''' at the far side of the table from Christ and John, as witness to the latter's despair upon learning of the impending betrayal''	What is spaced ``below the salt,'''', as witness to the latter's despair upon learning of the impending betrayal''?	judas		
		Christ and the apostles are fitted within a boxlike space.	Who are fitted within a boxlike space?	Christ and the apostles		
41696-08visita.jpg	The artist of the panel is referred to as the Master of Perea					
		The artist of the panel is referred to as the Master of Perea	Who is the artist of the panel referred to as?	as the Master of Perea		
		The artist of the panel is referred to as the Master of Perea	Who is referred to as the Master of Perea?	the artist of the panel		
03519-sensuali.jpg	The companion-piece of the painting, Time Orders Old Age to Destroy Beauty, is in the National Gallery, London. The two paintings, commissioned by Bartolomeo Talenti, are mentioned together in a letter of the artist (now in the archive at Lucca)					
		The two paintings, commissioned by Bartolomeo Talenti, are mentioned together in a letter of the artist (now in the archive at Lucca)	What are mentioned together in a letter of the artist?	the two paintings		
		The two paintings, commissioned by Bartolomeo Talenti, are mentioned together in a letter of the artist (now in the archive at Lucca)	What were commissioned by Bartolomeo Talenti?	the two paintings		
		The companion-piece of the painting, Time Orders Old Age to Destroy Beauty, is in the National Gallery, London.	What is the National Gallery?	London		
		The companion-piece of the painting, Time Orders Old Age to Destroy Beauty, is in the National Gallery, London.	What is the painting?	Time Orders Old Age to Destroy Beauty		
		The companion-piece of the painting, Time Orders Old Age to Destroy Beauty, is in the National Gallery, London.	What is Time Orders Old Age to Destroy Beauty?	the painting		
		The two paintings, commissioned by Bartolomeo Talenti, are mentioned together in a letter of the artist (now in the archive at Lucca)	Who were the two paintings commissioned by?	by Bartolomeo Talenti		
		The companion-piece of the painting, Time Orders Old Age to Destroy Beauty, is in the National Gallery, London.	Who is in the National Gallery?	the companion-piece of the painting		
		The companion-piece of the painting, Time Orders Old Age to Destroy Beauty, is in the National Gallery, London.	What is the companion-piece of the painting in?	in the National Gallery		
		The companion-piece of the painting, Time Orders Old Age to Destroy Beauty, is in the National Gallery, London.	What is London?	the National Gallery		
		The two paintings, commissioned by Bartolomeo Talenti, are mentioned together in a letter of the artist (now in the archive at Lucca)	How many paintings were commissioned by Bartolomeo Talenti?	the two paintings		
		The two paintings, commissioned by Bartolomeo Talenti, are mentioned together in a letter of the artist (now in the archive at Lucca)	How many paintings are mentioned together in a letter of the artist?	the two paintings		
		The two paintings, commissioned by Bartolomeo Talenti, are mentioned together in a letter of the artist (now in the archive at Lucca)	What are the two paintings mentioned together in?	in a letter of the artist		
29948-port_fam.jpg	The grotesque peasants carousing, brawling, or engaged in swinish gluttony in disorderly hovels are characteristic of Ostade's boisterous work of his early phase. In the 1640s his interiors gain in spaciousness and atmosphere. By the middle of the century Ostade had changed to a more idyllic style. His figures became calmer and more respectable. There is a new emphasis on local colour and an orderly arrangement. The reason for the shift in Ostade's mood has not been established. Perhaps it is related to a change in his clientele, to his own conception of himself, and his ideas about his task as an artist					
		His figures became calmer and more respectable.	Whose figures became calmer and more respectable?	Ostade's figures		
		The grotesque peasants carousing, brawling, or engaged in swinish gluttony in disorderly hovels are characteristic of Ostade's boisterous work of his early phase.	What are the grotesque peasants carousing, brawling, or engaged in swinish gluttony in disorderly hovels characteristic of?	of Ostade's boisterous work of his early phase		
		By the middle of the century Ostade had changed to a more idyllic style.	What had Ostade changed to a more idyllic style by?	by the middle of the century		
		By the middle of the century Ostade had changed to a more idyllic style.	What had Ostade changed to by the middle of the century?	to a more idyllic style		
		By the middle of the century Ostade had changed to a more idyllic style.	Who had changed to a more idyllic style by the middle of the century?	Ostade		
		His figures became calmer and more respectable.	What became calmer and more respectable?	Ostade's figures		
		In the 1640s his interiors gain in spaciousness and atmosphere.	What gain in spaciousness and atmosphere in the 1640s?	his interiors		
		The reason for the shift in Ostade's mood has not been established.	What has not been established?	the reason for the shift in Ostade's mood		
33904-19noremb.jpg	Catalogue number: Bredius 589.This painting could be a student work that depends on a Rembrandt etching					
		Catalogue number: Bredius 589.	What does catalogue number: bredius?	589		
		Catalogue number: Bredius 589.	What: Bredius 589?	catalogue number		
		This painting could be a student work that depends on a Rembrandt etching	What could be a student work that depends on a Rembrandt etching?	this painting		
41290-06martin.jpg	The panel, painted on both sides, was part of the moving wing of a winged altarpiece. The panel represents the best-known episode from the legend of St. Martin. The young knight at the town-gate of Amiens cuts his cloak in two and gives half of it to a beggar. In the interior represented on the left side of the picture another episode from the legend can be seen. Christ appears at night to Martin, who suddenly realizes that it was the Saviour himself who put him to the test in the guise of a beggar. He is then baptized.The building on the left, decorated with statues mounted on brackets, and the room into which we can look, show the distant influence of Netherlandish art. This building, a fantastic edifice of many storeys, is an imaginative feat on the part of the painter. Although it seems the painter had some difficulty in representing the figure on horseback, his skill is amply demonstrated in the symmetrical composition, the distressed expression of the faces, the careful treatment of such details as the hair and the beard, and also the freshness of the colours					
		In the interior represented on the left side of the picture another episode from the legend can be seen.	What can be seen in the interior represented on the left side of the picture?	another episode from the legend		
		In the interior represented on the left side of the picture another episode from the legend can be seen.	Where can another episode from the legend be seen?	in the interior represented on the left side of the picture		
		The panel, painted on both sides, was part of the moving wing of a winged altarpiece.	What was the panel painted on?	on both sides		
		This building, a fantastic edifice of many storeys, is an imaginative feat on the part of the painter.	What is the building?	a fantastic edifice of many storeys		
		The panel, painted on both sides, was part of the moving wing of a winged altarpiece.	Where was the panel painted?	on both sides		
		Christ appears at night to Martin, who suddenly realizes that it was the Saviour himself who put him to the test in the guise of a beggar.	Who realizes that night was the Saviour Christ who put him to the test in the guise of a beggar?	Martin		
		The panel, painted on both sides, was part of the moving wing of a winged altarpiece.	What was the panel part of?	of the moving wing of a winged altarpiece		
		The young knight at the town-gate of Amiens cuts his cloak in two and gives half of it to a beggar.	What does the young knight at the town-gate of Amiens cut in two?	his cloak		
		The young knight at the town-gate of Amiens cuts his cloak in two and gives half of it to a beggar.	What does the young knight at the town-gate of Amiens cut his cloak in?	in two		
		Christ appears at night to Martin, who suddenly realizes that it was the Saviour himself who put him to the test in the guise of a beggar.	Who does Christ appear at night to?	to Martin		
		Christ appears at night to Martin, who suddenly realizes that it was the Saviour himself who put him to the test in the guise of a beggar.	Who appears at night to Martin?	Christ		
		This building, a fantastic edifice of many storeys, is an imaginative feat on the part of the painter.	What is an imaginative feat on the part of the painter?	this building		
		The building on the left, decorated with statues mounted on brackets, and the room into which we can look, show the distant influence of Netherlandish art.	What was the left decorated with?	with statues		
		Christ appears at night to Martin, who suddenly realizes that it was the Saviour himself who put him to the test in the guise of a beggar.	Who does Martin realize that night was?	the Saviour Christ who put him to the test in the guise of a beggar		
		The panel represents the best-known episode from the legend of St. Martin.	What represents the best-known episode from the legend of St. Martin?	the panel		
		The panel represents the best-known episode from the legend of St. Martin.	What does the panel represent?	the best-known episode from the legend of St. Martin		
		The panel, painted on both sides, was part of the moving wing of a winged altarpiece.	What was part of the moving wing of a winged altarpiece?	the panel		
		In the interior represented on the left side of the picture another episode from the legend can be seen.	What can another episode from the legend be seen in?	in the interior represented on the left side of the picture		
		Christ appears at night to Martin, who suddenly realizes that it was the Saviour himself who put him to the test in the guise of a beggar.	What does Martin realize?	that night was the Saviour Christ who put him to the test in the guise of a beggar		
		This building, a fantastic edifice of many storeys, is an imaginative feat on the part of the painter.	What is the building a fantastic edifice of?	of many storeys		
		The panel, painted on both sides, was part of the moving wing of a winged altarpiece.	What was the panel?	part of the moving wing of a winged altarpiece		
		The panel, painted on both sides, was part of the moving wing of a winged altarpiece.	What was painted on both sides?	the panel		
		He is then baptized.	Who is then baptized?	Christ		
		The young knight at the town-gate of Amiens cuts his cloak in two and gives half of it to a beggar.	What does the young knight at the town-gate of Amiens give half of to a beggar?	of it		
		Christ appears at night to Martin, who suddenly realizes that it was the Saviour himself who put him to the test in the guise of a beggar.	When does Christ appear to Martin?	at night		
		The young knight at the town-gate of Amiens cuts his cloak in two and gives half of it to a beggar.	Who cuts his cloak in two?	the young knight at the town-gate of Amiens		
		The building on the left, decorated with statues mounted on brackets, and the room into which we can look, show the distant influence of Netherlandish art.	What was decorated with statues?	the left		
		The young knight at the town-gate of Amiens cuts his cloak in two and gives half of it to a beggar.	What does the young knight at the town-gate of Amiens give to a beggar?	half of it		
		This building, a fantastic edifice of many storeys, is an imaginative feat on the part of the painter.	What is a fantastic edifice of many storeys?	the building		
20077-12orange.jpg	The painting represents Frederick Henry (Frederik Hendrik in Dutch) (1584-1647), Prince of Orange and Stadholder of Holland from 1625 to 1647. He was the youngest child of William the Silent, and was born at Delft about six months before his father's assassination. Frederick Henry was married in 1625 to Amalia van Solms-Braunfels, and left one son, William II of Orange, and four daughters. In the centre of the painting is Amalia, at her side their youngest daughter Maria. On the right are their daughters Albertina Agnes and Henrietta					
		He was the youngest child of William the Silent, and was born at Delft about six months before his father's assassination.	Where was Frederick Henry, Prince of Orange and Stadholder born about six months before his father's assassination?	at Delft		
		Frederick Henry was married in 1625 to Amalia van Solms-Braunfels, and left one son, William II of Orange, and four daughters.	Who was William II of Orange, and four daughters?	one son		
		He was the youngest child of William the Silent, and was born at Delft about six months before his father's assassination.	Whose assassination was Frederick Henry, Prince of Orange and Stadholder born at Delft about six months before?	before his father's assassination		
		In the center of the painting is Amalia, at her side their youngest daughter Maria.	Who is Amalia?	William II of Orange, and four daughters		
		In the center of the painting is Amalia, at her side their youngest daughter Maria.	What is William II of Orange, and four daughters?	Amalia		
		The painting represents Frederick Henry (Frederik Hendrik in Dutch), Prince of Orange and Stadholder of Holland from 1625 to 1647.	When does the painting represent Frederick Henry, Prince of Orange and Stadholder of Holland?	from 1625 to 1647		
